tucaseid,tuactivity_n,tewhere,trtcctot_ln,trtcc_ln,trtcoc_ln,trtec_ln,trthh_ln,trtnohh_ln,trtohh_ln,trtonhh_ln,trto_ln,tuactdur,tuactdur24,tucc5,tucc5b,tucc7,tucc8,tucumdur,tucumdur24,tudurstop,tuec24,tustarttim,tustoptime,tutier1code,tutier2code,tutier3code,trcode,trtier2,txwhere
20230101230625,10,1,0,-1,0,-1,-1,-1,-1,-1,-1,120,120,0,0,0,0,800,800,1,-1,15:20:00,17:20:00,05,01,01,050101,0501,0
20230101230625,11,1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,830,830,1,-1,17:20:00,17:50:00,02,02,01,020201,0202,0
20230101230625,12,1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,860,860,1,-1,17:50:00,18:20:00,11,01,01,110101,1101,0
20230101230625,13,1,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,880,880,1,-1,18:20:00,18:40:00,02,02,01,020201,0202,0
20230101230625,14,1,0,-1,0,-1,-1,-1,-1,-1,-1,120,120,0,0,0,0,1000,1000,1,-1,18:40:00,20:40:00,05,01,01,050101,0501,0
20230101230625,15,1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,1060,1060,1,-1,20:40:00,21:40:00,12,03,03,120303,1203,0
20230101230625,16,1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,1090,1090,1,-1,21:40:00,22:10:00,02,02,01,020201,0202,0
20230101230625,17,1,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,1105,1105,1,-1,22:10:00,22:25:00,11,01,01,110101,1101,0
20230101230625,18,1,0,-1,0,-1,-1,-1,-1,-1,-1,120,120,0,0,0,0,1225,1225,1,-1,22:25:00,00:25:00,05,01,01,050101,0501,0
20230101230625,19,-1,0,-1,0,-1,-1,-1,-1,-1,-1,545,215,0,0,0,0,1770,1440,2,-1,00:25:00,09:30:00,01,01,01,010101,0101,0
20230101230628,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,180,180,0,0,0,97,180,180,2,-1,04:00:00,07:00:00,01,01,01,010101,0101,0
20230101230628,2,-1,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,195,195,1,-1,07:00:00,07:15:00,01,02,01,010201,0102,0
20230101230628,3,1,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,210,210,1,-1,07:15:00,07:30:00,11,01,01,110101,1101,0
20230101230628,4,1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,240,240,1,-1,07:30:00,08:00:00,18,05,01,180501,1805,0
